target_icd,rank,prs_icd,auc
K44,4,M19,0.5178395133311199
K44,5,F32,0.5175281088382869
K44,6,N81,0.5173874554300022
K44,7,M47,0.5163467892861479
K44,8,M17,0.5156111966297469
K44,9,F33,0.5152497116488063
K44,10,M51,0.514926071061679
K50,1,K51,0.5922324420395475
K50,2,K50,0.5712340855777233
K50,3,E66,0.5271291037235587
K50,4,I10,0.5227477485357156
K50,5,K60,0.5214725444572622
K50,6,G35,0.5213103255835281
K50,7,K70,0.5179984725541228
K50,8,L40,0.5169717987833433
K50,9,I71,0.5165081945047938
K50,10,J45,0.5162708490349905
K51,1,K51,0.5990007134183019
K51,2,K50,0.5383246224502144
K51,3,M05,0.5166309953815711
K51,4,G35,0.5159679277841731
K51,5,D51,0.5151821810119372
K51,6,K75,0.5143504544441915
K51,7,M81,0.5139588538824604
K51,8,J45,0.513270278061741
K51,9,K43,0.5119471281563702
K51,10,J35,0.5116900128718795
K57,1,K57,0.5814878901270265
K57,2,K43,0.5172732664832358
K57,3,K44,0.5169731239365275
K57,4,N81,0.5168508884212402
K57,5,E66,0.5160400765824079
K57,6,M51,0.5146507765355939
K57,7,I10,0.5145257885549799
K57,8,M19,0.5129040398903855
K57,9,F32,0.5127799056504512
K57,10,M47,0.5127575359741231
K60,1,K60,0.5753438421151988
K60,2,M51,0.5282943617976484
K60,3,M19,0.5260118349426008
K60,4,F32,0.5241024851293562
K60,5,M47,0.5234347048697914
K60,6,E66,0.5217523134935897
K60,7,M17,0.5216632814909574
K60,8,M50,0.5204372990187577
K60,9,K57,0.5204198443605765
K60,10,G56,0.5203861725724785
K70,1,F10,0.588444062212912
K70,2,K70,0.5748963321091577
K70,3,K76,0.5720228430734711
K70,4,K74,0.5587713463551996
K70,5,F60,0.5418560258844334
K70,6,F32,0.5406196665385469
K70,7,F33,0.5403145032505197
K70,8,I50,0.5382650140522236
K70,9,M47,0.5374487624303819
K70,10,I10,0.535452511455542
K74,1,K76,0.5723923524949681
K74,2,K74,0.5682096580201214
K74,3,K70,0.5639007170604852
K74,4,E66,0.5514296369868337
K74,5,I10,0.5410757424714463
K74,6,E11,0.5407497188631071
K74,7,G56,0.5355064417853245
K74,8,I71,0.5327190925890184
K74,9,I50,0.5299999271995008
K74,10,M17,0.5299060702677177
K75,1,K76,0.5640844766859496
K75,2,K74,0.5523878606261339
K75,3,K70,0.5498548275335334
K75,4,E11,0.5362662385259924
K75,5,E66,0.5329935081035082
K75,6,K80,0.5327437719631785
K75,7,M05,0.5323510217974092
K75,8,M19,0.5322064563163384
K75,9,I20,0.5312143814940701
K75,10,K57,0.5310812309061379
K76,1,K76,0.5452600203192729
K76,2,K74,0.5393857892025417
K76,3,K70,0.5384198543596668
K76,4,E66,0.5369456548355046
K76,5,E11,0.531275545656837
K76,6,M51,0.5278992827254804
K76,7,I10,0.5259250872871873
K76,8,F10,0.5237739918914773
K76,9,K80,0.5222037991743339
K76,10,F33,0.5212972822059968
K80,1,K80,0.5896239896511429
K80,2,E66,0.5304742750501774
K80,3,E11,0.526717262066695
K80,4,K81,0.5253516412209863
K80,5,I71,0.5192297343234584
K80,6,K57,0.5189584917299144
K80,7,I10,0.5185548847993028
K80,8,F32,0.5175851639272857
K80,9,G43,0.5164092052048374
K80,10,O26,0.5162652490332561
K81,1,K80,0.5715043151039962
K81,2,E66,0.531614342029605
K81,3,E11,0.5295170592080845
K81,4,K81,0.52730293562306
K81,5,N20,0.5210687419225811
K81,6,K57,0.5205104912653862
K81,7,M17,0.5202495410864073
K81,8,G56,0.5181621442079284
K81,9,I10,0.5175066234315095
K81,10,G43,0.5169850977203314
L40,1,L40,0.6042505971096781
L40,2,E66,0.522636287827954
L40,3,I71,0.5223318509496613
L40,4,M51,0.5210816211591448
L40,5,I70,0.5200521544163259
L40,6,F10,0.5196960424939295
L40,7,K57,0.5188390043491867
L40,8,M19,0.5185187017110362
L40,9,M17,0.5183313047870727
L40,10,E03,0.5182218213427288
L57,1,C44,0.5469643129386479
L57,2,L57,0.5396763584678264
L57,3,D03,0.5298584647672225
L57,4,D04,0.5285354587937192
L57,5,J35,0.5150614985008657
L57,6,O26,0.5133437708980131
L57,7,K70,0.512997466981574
L57,8,O03,0.5121688038828426
L57,9,K57,0.5115089460165185
L57,10,N40,0.5113864810185929
L97,1,E66,0.5608834534257806
L97,2,E11,0.5447340051621425
L97,3,M17,0.5437095741186657
L97,4,I71,0.5409267475933467
L97,5,M16,0.5405510396449731
L97,6,I50,0.5401895010548147
L97,7,I48,0.5365866105925859
L97,8,I70,0.5356272060370001
L97,9,L97,0.5335478142547885
L97,10,I10,0.5282568589693488
M05,1,M05,0.5877574401835375
M05,2,M06,0.5566391339675575
M05,3,E03,0.5377111591444816
M05,4,L97,0.5314536747045826
M05,5,I71,0.5296012283756046
M05,6,I70,0.5265100413023819
M05,7,M16,0.5264124219789784
M05,8,J35,0.5262068897934069
